text,label
Double your income in one week!,spam
Claim your tax refund today.,spam
"You are pre-approved for a $10,000 loan. Apply instantly.",spam
Unlock premium access for free.,spam
Double your income in one week!,spam
"Thanks for your help earlier, the issue is resolved now.",ham
Can you review the pull request when you have time?,ham
Free trial ends today. Upgrade now!,spam
Get cheap meds without prescription.,spam
"Hi John, can you send me the final version of the budget report? Please ignore any click message.",ham
Increase your followers overnight.,spam
Unlock premium access for free.,spam
Final notice: update your payment details immediately. Regarding the project discussion.,spam
Happy birthday! Hope you have an amazing year ahead.,ham
Your Amazon order has been shipped and will arrive on Tuesday. Please ignore any winner message.,ham
Reminder about tomorrow’s dentist appointment at 14:30. Please ignore any bonus message.,ham
Happy birthday! Hope you have an amazing year ahead.,ham
Exclusive VIP membership invitation. Regarding the project discussion.,spam
The package was delivered to reception. Please ignore any free message.,ham
Reminder about tomorrow’s dentist appointment at 14:30.,ham
Exclusive VIP membership invitation.,spam
"The server maintenance is complete, everything is running normally.",ham
Hot singles waiting in your area. Regarding the update discussion.,spam
Congratulations!!! You are selected to receive a FREE reward card. Click here now!,spam
Limited time offer – 80% discount on all products!,spam
Congratulations!!! You are selected to receive a FREE reward card. Click here now! Regarding the meeting discussion.,spam
Your subscription renewal was successful.,ham
Hot singles waiting in your area.,spam
URGENT: Your bank account is locked. Verify immediately.,spam
Final notice: update your payment details immediately. Regarding the report discussion.,spam
Please approve the vacation request in the system.,ham
Thanks for the quick turnaround! Please ignore any offer message.,ham
Increase your followers overnight. Regarding the schedule discussion.,spam
Are we still meeting at the café near the office?,ham
Final notice: update your payment details immediately.,spam
Here are the notes from today’s workshop.,ham
"The server maintenance is complete, everything is running normally.",ham
Reminder about tomorrow’s dentist appointment at 14:30.,ham
Please find attached the signed agreement.,ham
You have won a brand new iPhone. Claim now! Regarding the invoice discussion.,spam
Thanks for the quick turnaround! Please ignore any winner message.,ham
Double your income in one week!,spam
Your Amazon order has been shipped and will arrive on Tuesday.,ham
"Thanks for your help earlier, the issue is resolved now.",ham
URGENT: Your bank account is locked. Verify immediately.,spam
Are we still meeting at the café near the office? Please ignore any bonus message.,ham
Win big prizes instantly. Register now!,spam
Are we still meeting at the café near the office?,ham
URGENT: Your bank account is locked. Verify immediately. Regarding the invoice discussion.,spam
The package was delivered to reception. Please ignore any free message.,ham
Please approve the vacation request in the system. Please ignore any winner message.,ham
You have won a brand new iPhone. Claim now!,spam
Thanks for the quick turnaround! Please ignore any offer message.,ham
Exclusive VIP membership invitation. Regarding the project discussion.,spam
Your account has suspicious activity. Confirm password.,spam
Please approve the vacation request in the system.,ham
Please find attached the signed agreement.,ham
Claim your tax refund today.,spam
URGENT: Your bank account is locked. Verify immediately.,spam
Exclusive VIP membership invitation.,spam
Please approve the vacation request in the system. Please ignore any bonus message.,ham
The tickets for the concert are confirmed.,ham
Are we still meeting at the café near the office?,ham
Here are the notes from today’s workshop.,ham
Your subscription renewal was successful.,ham
Win big prizes instantly. Register now!,spam
Happy birthday! Hope you have an amazing year ahead.,ham
Double your income in one week!,spam
Happy birthday! Hope you have an amazing year ahead. Please ignore any urgent message.,ham
"You are pre-approved for a $10,000 loan. Apply instantly.",spam
Increase your followers overnight.,spam
Unlock premium access for free. Regarding the report discussion.,spam
Reminder about tomorrow’s dentist appointment at 14:30.,ham
Please find attached the signed agreement.,ham
Your account has suspicious activity. Confirm password.,spam
Here are the notes from today’s workshop.,ham
Here are the notes from today’s workshop.,ham
I updated the spreadsheet with the latest numbers. Please ignore any click message.,ham
"Hi John, can you send me the final version of the budget report? Please ignore any bonus message.",ham
Earn money fast from home with this simple trick. Regarding the project discussion.,spam
Double your income in one week!,spam
The package was delivered to reception. Please ignore any urgent message.,ham
Here are the notes from today’s workshop. Please ignore any free message.,ham
The package was delivered to reception.,ham
Congratulations!!! You are selected to receive a FREE reward card. Click here now!,spam
Limited time offer – 80% discount on all products! Regarding the schedule discussion.,spam
Thanks for the quick turnaround!,ham
Earn money fast from home with this simple trick. Regarding the update discussion.,spam
You have won a brand new iPhone. Claim now! Regarding the report discussion.,spam
Earn money fast from home with this simple trick.,spam
Crypto investors are making thousands daily. Join today! Regarding the project discussion.,spam
"Hi John, can you send me the final version of the budget report?",ham
"Hi John, can you send me the final version of the budget report?",ham
Win big prizes instantly. Register now!,spam
Hot singles waiting in your area.,spam
"The server maintenance is complete, everything is running normally.",ham
Hot singles waiting in your area.,spam
"Lunch sounds good, how about 1 PM?",ham
Final notice: update your payment details immediately.,spam
Hot singles waiting in your area. Regarding the schedule discussion.,spam
Congratulations!!! You are selected to receive a FREE reward card. Click here now! Regarding the project discussion.,spam
I updated the spreadsheet with the latest numbers.,ham
Increase your followers overnight. Regarding the project discussion.,spam
Let’s postpone the meeting to next week.,ham
Your Amazon order has been shipped and will arrive on Tuesday. Please ignore any offer message.,ham
Exclusive VIP membership invitation.,spam
Happy birthday! Hope you have an amazing year ahead.,ham
URGENT: Your bank account is locked. Verify immediately.,spam
Hot singles waiting in your area.,spam
"You are pre-approved for a $10,000 loan. Apply instantly.",spam
Can you review the pull request when you have time? Please ignore any free message.,ham
"Thanks for your help earlier, the issue is resolved now.",ham
Can you double-check the invoice total?,ham
I updated the spreadsheet with the latest numbers.,ham
"The server maintenance is complete, everything is running normally.",ham
"Hi John, can you send me the final version of the budget report? Please ignore any winner message.",ham
"Hi John, can you send me the final version of the budget report?",ham
Double your income in one week! Regarding the update discussion.,spam
Get cheap meds without prescription.,spam
Limited time offer – 80% discount on all products!,spam
Double your income in one week!,spam
Act fast before this exclusive deal expires.,spam
Here are the notes from today’s workshop.,ham
Increase your followers overnight.,spam
Increase your followers overnight.,spam
Crypto investors are making thousands daily. Join today!,spam
Crypto investors are making thousands daily. Join today!,spam
You have won a brand new iPhone. Claim now!,spam
The package was delivered to reception.,ham
"The server maintenance is complete, everything is running normally. Please ignore any offer message.",ham
Free trial ends today. Upgrade now! Regarding the meeting discussion.,spam
Earn money fast from home with this simple trick.,spam
I updated the spreadsheet with the latest numbers.,ham
Exclusive VIP membership invitation.,spam
Congratulations!!! You are selected to receive a FREE reward card. Click here now!,spam
