text,label
Earn $500 per day from home!!! Click http://tinyurl.com/free-offer,spam
Here are the notes from today's call. Action items are listed below.,ham
Act now: exclusive deal on meds. Reply YES to subscribe.,spam
Happy birthday! Wishing you a great day.,ham
Please find attached the invoice for last month. Let me know if you have questions.,ham
Act now: exclusive deal on loan. Reply YES to subscribe.,spam
Final notice: pay your outstanding balance or face legal action. http://bit.ly/claim-now,spam
Lunch on Thursday? I'm free after 14:00.,ham
Thanks for your help with the project. Let's catch up this week.,ham
Lunch on Friday? I'm free after 09:00.,ham
CONGRATULATIONS! You have WON a vacation voucher. Claim NOW: http://bit.ly/claim-now,spam
Act now: exclusive deal on laptop. Reply YES to subscribe.,spam
You have been selected for a FREE vacation voucher! Limited time offer.,spam
You have been selected for a FREE gift card! Limited time offer.,spam
URGENT: Your account is suspended. Verify immediately! ,spam
CONGRATULATIONS! You have WON a gift card. Claim NOW: http://bit.ly/claim-now,spam
URGENT: Your account is suspended. Verify immediately at http://track.example/confirm,spam
You have been selected for a FREE cash reward! Limited time offer.,spam
"Get cheap meds now, 90% OFF!",spam
Your package is held. Confirm delivery address here: http://tinyurl.com/free-offer,spam
URGENT: Your account is suspended. Verify immediately at http://secure-login.example,spam
Your order #50953 has shipped and will arrive on 2026-02-15.,ham
You won the lottery! Send your bank details to receive $250.,spam
Your package is held. Confirm delivery address here: http://bit.ly/claim-now,spam
Your order #45976 has shipped and will arrive on 2026-02-10.,ham
"Get cheap loan now, 90% OFF! http://secure-login.example",spam
Earn $100 per day from home!!! Click http://bit.ly/claim-now,spam
"Team, the deployment is planned for 18:00. Please be online.",ham
"Team, the deployment is planned for 16:15. Please be online.",ham
CONGRATULATIONS! You have WON a cash reward. Claim NOW: http://tinyurl.com/free-offer,spam
"Get cheap laptop now, 90% OFF! http://bit.ly/claim-now",spam
Could you review the document and share feedback by 2026-02-12?,ham
Final notice: pay your outstanding balance or face legal action. http://tinyurl.com/free-offer,spam
Could you review the document and share feedback by 2026-02-15?,ham
CONGRATULATIONS! You have WON a iPhone 15. Claim NOW: http://bit.ly/claim-now,spam
"Get cheap meds now, 90% OFF! http://bit.ly/claim-now",spam
Hot singles in your area waiting. Visit http://track.example/confirm,spam
You won the lottery! Send your bank details to receive $1000.,spam
Final notice: pay your outstanding balance or face legal action. http://secure-login.example,spam
Act now: exclusive deal on watches. Reply YES to subscribe.,spam
"Get cheap laptop now, 90% OFF! http://tinyurl.com/free-offer",spam
"Get cheap crypto course now, 90% OFF! http://track.example/confirm",spam
"Team, the deployment is planned for 09:00. Please be online.",ham
Hot singles in your area waiting. Visit http://bit.ly/claim-now,spam
Your order #39571 has shipped and will arrive on 2026-02-10.,ham
CONGRATULATIONS! You have WON a cash reward. Claim NOW: http://track.example/confirm,spam
Your package is held. Confirm delivery address here: http://track.example/confirm,spam
Earn $500 per day from home!!! Click http://secure-login.example,spam
Final notice: pay your outstanding balance or face legal action. http://track.example/confirm,spam
Lunch on Friday? I'm free after 14:00.,ham
Act now: exclusive deal on crypto course. Reply YES to subscribe.,spam
CONGRATULATIONS! You have WON a cash reward. Claim NOW: http://secure-login.example,spam
"Hi Alex, can we reschedule our meeting to 14:00 tomorrow?",ham
"Hi Dimitar, can we reschedule our meeting to 09:00 tomorrow?",ham
URGENT: Your account is suspended. Verify immediately at http://tinyurl.com/free-offer,spam
Lunch on Tuesday? I'm free after 14:00.,ham
URGENT: Your account is suspended. Verify immediately at http://bit.ly/claim-now,spam
Hot singles in your area waiting. Visit http://secure-login.example,spam
Your order #42951 has shipped and will arrive on 2026-02-15.,ham
Reminder: your appointment is confirmed for 2026-02-15.,ham
Reminder: your appointment is confirmed for 2026-02-20.,ham
"Hi Nikolay, can we reschedule our meeting to 11:30 tomorrow?",ham
"Team, the deployment is planned for 11:30. Please be online.",ham
"Hi Ivan, can we reschedule our meeting to 11:30 tomorrow?",ham
"Hi Ivan, can we reschedule our meeting to 16:15 tomorrow?",ham
Could you review the document and share feedback by 2026-02-20?,ham
Your order #16175 has shipped and will arrive on 2026-02-20.,ham
Your order #25118 has shipped and will arrive on 2026-02-15.,ham
"Get cheap laptop now, 90% OFF! http://track.example/confirm",spam
Lunch on Thursday? I'm free after 16:15.,ham
You won the lottery! Send your bank details to receive $50.,spam
"Get cheap meds now, 90% OFF! http://tinyurl.com/free-offer",spam
"Get cheap watches now, 90% OFF! http://tinyurl.com/free-offer",spam
Your order #42493 has shipped and will arrive on 2026-02-20.,ham
Lunch on Monday? I'm free after 09:00.,ham
Lunch on Monday? I'm free after 11:30.,ham
Lunch on Friday? I'm free after 11:30.,ham
You won the lottery! Send your bank details to receive $100.,spam
"Get cheap meds now, 90% OFF! http://secure-login.example",spam
"Get cheap watches now, 90% OFF! http://track.example/confirm",spam
Lunch on Monday? I'm free after 14:00.,ham
Your order #43029 has shipped and will arrive on 2026-02-20.,ham
You have been selected for a FREE iPhone 15! Limited time offer.,spam
Lunch on Tuesday? I'm free after 11:30.,ham
Reminder: your appointment is confirmed for 2026-02-10.,ham
"Get cheap crypto course now, 90% OFF! http://secure-login.example",spam
"Hi Alex, can we reschedule our meeting to 11:30 tomorrow?",ham
CONGRATULATIONS! You have WON a iPhone 15. Claim NOW: http://secure-login.example,spam
Your order #76840 has shipped and will arrive on 2026-02-10.,ham
"Hi Maria, can we reschedule our meeting to 09:00 tomorrow?",ham
"Hi Maria, can we reschedule our meeting to 11:30 tomorrow?",ham
Final notice: pay your outstanding balance or face legal action.,spam
"Hi George, can we reschedule our meeting to 14:00 tomorrow?",ham
